Flower Name	Kingdom	Phylum	Class	Order	Family	Genus	Lifespan
Larkspur	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Delphinium	Perennial
Lavender	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Lavandula	Perennial
Leadwort	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Plumbaginaceae	Plumbago	Perennial
Liatris	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Liatris	Perennial
Lilac	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Oleaceae	Syringa	Perennial
Lily	Plantae	Tracheophyta	Liliopsida	Liliales	Liliaceae	Lilium	Perennial
Limonium	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Plumbaginaceae	Limonium	Perennial
Lisianthus	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Gentianaceae	Eustoma	Annual/Perennial
Lobelia	Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Lobelia	Annual/Biennial/Perennial
Lotus	Plantae	Tracheophyta	Magnoliopsida	Proteales	Nelumbonaceae	Nelumbo	Perennial
Lupine	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lupinus	Annual/Perennial
Magnolia	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Magnoliaceae	Magnolia	Perennial
Malva	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Malva	Annual/Biennial/Perennial
Marigold	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Calendula	Annual
Mazus	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Mazaceae	Mazus	Annual/Perennial
Mirabilis	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Mirabilis	Perennial
Moonflower	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Datura	Annual/Perennial
Morning Glory	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Ipomoea	Annual/Perennial
Narcissus	Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Narcissus	Perennial
Nasturtium	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Nasturtium	Perennial
Nierembergia	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Nierembergia	Perennial
Orchid	Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Orchis	Perennial
Oriental Lily	Plantae	Tracheophyta	Liliopsida	Liliales	Liliaceae	Lilium	Perennial
Osteospermum	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Osteospermum	Perennial
Pansy	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	Annual/Perennial
Peony	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Paeoniaceae	Paeonia	Perennial
Periwinkle	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Catharanthus	Annual/Perennial
Petunia	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Petunia	Annual/Perennial
Poppy	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Papaver	Annual/Perennial
Primrose	Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Primula	Perennial
Protea	Plantae	Tracheophyta	Magnoliopsida	Proteales	Proteaceae	Protea	Perennial
Ranunculus	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus	Annual/Biennial/Perennial
Rhododendron	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron	Perennial
Rose	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosa	Perennial
Rue	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Ruta	Perennial
Sanvitalia	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Sanvitalia	Annual
Snapdragon	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Antirrhinum	Perennial
Snowdrop	Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Galanthus	Perennial
Solidago	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Solidago	Perennial
Star of Bethlehem	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Ornithogalum	Perennial
Stargazer Lily	Plantae	Tracheophyta	Liliopsida	Liliales	Liliaceae	Lilium	Perennial
Starflower	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Borago	Annual
Statice	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Plumbaginaceae	Limonium	Perennial
Stock	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Matthiola	Annual/Biennial/Perennial
Sunflower	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Helianthus	Perennial
Sweet Pea	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	Annual/Perennial
Tansy	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Perennial
Thoroughwort	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Eupatorium	Perennial
Thunbergia	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Thunbergia	Perennial
Tithonia	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tithonia	Annual/Perennial
Torenia	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Linderniaceae	Torenia	Annual
Trachelium	Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Trachelium	Perennial
Trillium	Plantae	Tracheophyta	Liliopsida	Liliales	Melanthiaceae	Trillium	Perennial
Tuberose	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Perennial
Tulip	Plantae	Tracheophyta	Liliopsida	Liliales	Liliaceae	Tulipa	Perennial
Twinspur	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Scrophulariaceae	Diascia	Perennial
Verbena	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Verbena	Annual/Biennial/Perennial
Violet	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	Annual/Perennial
Watercress	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Nasturtium	Perennial
Windflower	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Anemone	Perennial
Wisteria	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Wisteria	Perennial
Yarrow	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Perennial
Zinnia	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Zinnia	Annual/Perennial
